sequence,label
"-6.04,-3.13,-0.21,2.70,5.61,8.52,11.43,14.34,17.25,20.17,23.08",arithmetic
"4.58,6.17,7.75,9.33,10.91,12.50,14.08,15.66,17.24",arithmetic
"1.07,2.30,3.52,4.74,5.96,7.18,8.40,9.63,10.85,12.07",arithmetic
"9.32,9.82,10.33,10.83,11.34,11.84,12.34,12.85",arithmetic
"4.27,5.07,5.87,6.68,7.48,8.28,9.08,9.88,10.68,11.48,12.28",arithmetic
"-1.97,-0.45,1.06,2.57,4.08",arithmetic
"7.98,8.90,9.82,10.74,11.66,12.58,13.50,14.42,15.34",arithmetic
"-9.67,-6.72,-3.77,-0.82,2.13",arithmetic
"3.65,4.51,5.36,6.22,7.07,7.93,8.79",arithmetic
"-8.68,-7.82,-6.96,-6.10,-5.24,-4.37,-3.51,-2.65",arithmetic
"8.05,9.19,10.33,11.47,12.62,13.76",arithmetic
"3.60,5.24,6.89,8.54,10.18,11.83,13.47,15.12,16.77,18.41",arithmetic
"7.30,9.57,11.84,14.11,16.38,18.65,20.92,23.19",arithmetic
"4.88,5.77,6.66,7.55,8.44,9.34,10.23,11.12,12.01,12.90",arithmetic
"5.03,6.93,8.83,10.74,12.64,14.54",arithmetic
"6.31,7.11,7.91,8.71,9.51,10.31,11.11,11.91,12.71,13.51",arithmetic
"-5.44,-3.38,-1.33,0.73,2.79,4.84,6.90,8.96",arithmetic
"-7.70,-4.97,-2.25,0.47,3.19,5.92,8.64,11.36,14.08",arithmetic
"4.42,5.59,6.76,7.93,9.10,10.26,11.43,12.60,13.77,14.94,16.10",arithmetic
"7.96,10.71,13.46,16.21,18.96,21.72,24.47",arithmetic
"-3.50,-1.21,1.09,3.39,5.68,7.98,10.28",arithmetic
"-3.62,-2.77,-1.93,-1.08,-0.24,0.61,1.46,2.30,3.15",arithmetic
"9.87,10.57,11.27,11.97,12.67,13.37,14.07,14.76,15.46,16.16",arithmetic
"3.61,4.26,4.92,5.58,6.24,6.90,7.56,8.22,8.88",arithmetic
"-6.00,-4.99,-3.99,-2.99,-1.98",arithmetic
"7.98,9.94,11.90,13.86,15.82,17.78",arithmetic
"-3.82,-1.62,0.58,2.78,4.98,7.18",arithmetic
"7.42,8.37,9.31,10.26,11.20,12.15,13.09,14.04,14.98",arithmetic
"0.86,1.82,2.78,3.74,4.69,5.65,6.61,7.57,8.53,9.48",arithmetic
"1.77,2.83,3.89,4.94,6.00,7.06,8.12,9.18,10.24,11.29",arithmetic
"-0.88,0.25,1.39,2.53,3.66,4.80,5.94,7.08,8.21,9.35",arithmetic
"9.22,11.09,12.97,14.84,16.71,18.59,20.46",arithmetic
"-3.83,-1.72,0.40,2.51,4.62,6.73,8.85,10.96,13.07,15.18",arithmetic
"-8.69,-7.68,-6.68,-5.68,-4.67,-3.67,-2.66,-1.66,-0.66,0.35,1.35",arithmetic
"-1.59,1.06,3.72,6.37,9.03,11.69,14.34,17.00,19.65",arithmetic
"2.80,5.04,7.28,9.52,11.76,14.00",arithmetic
"-8.62,-6.35,-4.08,-1.81,0.46,2.73,5.00,7.27",arithmetic
"4.85,7.57,10.28,13.00,15.72,18.44,21.16,23.87,26.59,29.31",arithmetic
"-8.92,-8.09,-7.26,-6.42,-5.59",arithmetic
"-3.92,-1.93,0.06,2.04,4.03",arithmetic
"-1.06,0.45,1.96,3.48,4.99",arithmetic
"-5.20,-3.95,-2.71,-1.47,-0.22,1.02,2.27",arithmetic
"8.30,11.10,13.90,16.69,19.49,22.28,25.08",arithmetic
"-6.36,-4.24,-2.11,0.01,2.13,4.25,6.37,8.49,10.61",arithmetic
"-7.22,-6.55,-5.89,-5.22,-4.55,-3.89,-3.22,-2.56,-1.89,-1.23,-0.56",arithmetic
"7.77,8.70,9.63,10.56,11.49",arithmetic
"-8.61,-7.49,-6.38,-5.26,-4.15",arithmetic
"-0.67,0.26,1.19,2.12,3.04,3.97,4.90,5.82",arithmetic
"-9.87,-8.28,-6.69,-5.10,-3.51,-1.92,-0.33,1.26,2.85",arithmetic
"2.15,2.90,3.65,4.40,5.15",arithmetic
"1.38,3.82,6.27,8.71,11.16,13.61,16.05",arithmetic
"7.85,8.69,9.53,10.36,11.20,12.04,12.87,13.71,14.55",arithmetic
"-5.38,-4.26,-3.13,-2.01,-0.88",arithmetic
"-1.09,0.86,2.82,4.77,6.73,8.68,10.64,12.60,14.55,16.51",arithmetic
"4.01,6.70,9.38,12.06,14.75,17.43",arithmetic
"-0.03,2.32,4.66,7.01,9.35,11.70,14.04",arithmetic
"-0.71,1.10,2.90,4.71,6.52,8.32,10.13,11.94,13.74",arithmetic
"-0.12,1.15,2.42,3.70,4.97,6.24,7.52,8.79,10.06,11.34,12.61",arithmetic
"-9.41,-6.77,-4.14,-1.51,1.12",arithmetic
"-4.27,-3.47,-2.68,-1.89,-1.10,-0.31,0.49,1.28,2.07",arithmetic
"-2.74,-0.43,1.88,4.19,6.50,8.81,11.12",arithmetic
"-2.50,-1.31,-0.13,1.06,2.24,3.43,4.61,5.79",arithmetic
"6.47,8.72,10.97,13.22,15.47,17.72,19.97",arithmetic
"7.04,8.94,10.84,12.74,14.64,16.54",arithmetic
"-6.10,-4.04,-1.98,0.08,2.14,4.20,6.26,8.32,10.38,12.43",arithmetic
"-4.27,-3.71,-3.15,-2.59,-2.03,-1.46,-0.90",arithmetic
"-7.62,-5.03,-2.44,0.14,2.73,5.32,7.90,10.49",arithmetic
"-7.53,-5.27,-3.02,-0.76,1.50",arithmetic
"0.15,1.95,3.75,5.55,7.35,9.16",arithmetic
"0.09,2.38,4.66,6.94,9.22,11.50,13.79,16.07",arithmetic
"4.53,5.09,5.65,6.21,6.77",arithmetic
"-6.64,-5.22,-3.80,-2.38,-0.95,0.47,1.89,3.31,4.73",arithmetic
"2.10,4.01,5.92,7.83,9.73,11.64,13.55,15.46",arithmetic
"7.32,8.78,10.23,11.68,13.14,14.59,16.05,17.50,18.95,20.41",arithmetic
"8.78,10.16,11.54,12.92,14.31,15.69,17.07",arithmetic
"7.12,8.71,10.29,11.88,13.46,15.05,16.63,18.22,19.80",arithmetic
"3.41,5.77,8.13,10.48,12.84,15.20,17.56,19.92,22.28,24.64",arithmetic
"9.94,11.77,13.59,15.41,17.23,19.05,20.87",arithmetic
"-7.56,-4.72,-1.88,0.96,3.81,6.65,9.49",arithmetic
"-0.59,1.80,4.20,6.60,9.00,11.40,13.80,16.20,18.60",arithmetic
"5.71,7.54,9.37,11.21,13.04,14.87,16.71,18.54",arithmetic
"-8.27,-7.05,-5.83,-4.61,-3.39,-2.16,-0.94,0.28,1.50,2.72",arithmetic
"6.91,7.49,8.06,8.64,9.22,9.79,10.37,10.94,11.52",arithmetic
"2.09,4.43,6.77,9.11,11.45,13.79,16.13,18.47,20.81,23.15",arithmetic
"-2.82,-1.49,-0.15,1.18,2.51",arithmetic
"0.06,1.07,2.08,3.09,4.10,5.12,6.13",arithmetic
"-7.43,-6.21,-4.99,-3.76,-2.54,-1.32",arithmetic
"-2.97,-1.26,0.44,2.15,3.86,5.57,7.28,8.99,10.70",arithmetic
"-5.90,-5.14,-4.38,-3.62,-2.87,-2.11,-1.35",arithmetic
"7.39,7.96,8.53,9.10,9.67,10.24,10.81,11.38,11.95,12.52,13.09",arithmetic
"3.10,5.25,7.39,9.54,11.69,13.84,15.98,18.13,20.28",arithmetic
"6.83,7.54,8.25,8.95,9.66,10.37",arithmetic
"-3.10,-0.73,1.64,4.02,6.39,8.76,11.13,13.51,15.88,18.25,20.62",arithmetic
"5.73,8.48,11.24,14.00,16.75,19.51,22.27,25.02,27.78,30.54",arithmetic
"1.21,2.14,3.07,4.00,4.94,5.87,6.80,7.74,8.67,9.60",arithmetic
"5.71,8.59,11.46,14.34,17.22",arithmetic
"-6.78,-5.76,-4.74,-3.72,-2.71,-1.69,-0.67",arithmetic
"-1.06,1.28,3.63,5.97,8.32",arithmetic
"-4.56,-2.49,-0.42,1.64,3.71,5.78,7.85,9.92",arithmetic
"-4.88,-3.55,-2.22,-0.89,0.44,1.77,3.10,4.43",arithmetic
"-9.40,-6.75,-4.11,-1.47,1.18",arithmetic
"-4.86,-3.59,-2.33,-1.06,0.20",arithmetic
"-9.89,-7.95,-6.01,-4.08,-2.14,-0.20,1.74,3.68",arithmetic
"-9.61,-7.22,-4.84,-2.45,-0.07",arithmetic
"6.24,6.74,7.24,7.74,8.24,8.74,9.24",arithmetic
"-1.58,1.32,4.22,7.12,10.01",arithmetic
"8.40,11.12,13.83,16.55,19.26,21.97,24.69,27.40,30.12,32.83,35.54",arithmetic
"-0.95,0.01,0.97,1.93,2.89,3.85,4.81,5.78,6.74",arithmetic
"-0.06,2.26,4.57,6.88,9.19,11.51",arithmetic
"-7.43,-4.73,-2.04,0.66,3.36,6.06,8.76,11.46,14.15",arithmetic
"8.31,10.47,12.63,14.80,16.96,19.12,21.28,23.45,25.61,27.77",arithmetic
"0.35,3.15,5.94,8.74,11.53,14.33,17.12",arithmetic
"-7.27,-6.64,-6.00,-5.36,-4.72",arithmetic
"4.88,5.77,6.67,7.56,8.45",arithmetic
"-9.33,-8.27,-7.21,-6.16,-5.10,-4.04,-2.99,-1.93,-0.87,0.18",arithmetic
"8.57,9.54,10.51,11.48,12.45,13.41,14.38",arithmetic
"1.12,3.90,6.68,9.46,12.24,15.02,17.80",arithmetic
"-8.84,-6.23,-3.61,-0.99,1.63",arithmetic
"-0.33,0.75,1.82,2.90,3.97",arithmetic
"-6.00,-4.06,-2.12,-0.18,1.76",arithmetic
"-5.27,-3.40,-1.53,0.35,2.22",arithmetic
"6.12,7.40,8.68,9.95,11.23,12.51",arithmetic
"-4.72,-2.02,0.68,3.38,6.08",arithmetic
"6.61,8.56,10.52,12.48,14.43,16.39,18.34,20.30",arithmetic
"-6.39,-4.80,-3.21,-1.63,-0.04,1.55,3.14",arithmetic
"-3.93,-3.37,-2.81,-2.25,-1.69,-1.13,-0.57,-0.01",arithmetic
"-4.25,-2.39,-0.52,1.34,3.20,5.07,6.93,8.80",arithmetic
"-5.79,-3.74,-1.68,0.38,2.44,4.50,6.56,8.62,10.68,12.74,14.80",arithmetic
"1.12,3.98,6.84,9.71,12.57,15.43,18.30,21.16,24.02",arithmetic
"-3.22,-1.50,0.22,1.94,3.66,5.38,7.10,8.83,10.55",arithmetic
"5.48,7.16,8.85,10.53,12.22,13.90",arithmetic
"9.44,10.08,10.73,11.38,12.03",arithmetic
"3.67,4.21,4.74,5.28,5.81",arithmetic
"-9.72,-7.23,-4.75,-2.26,0.23,2.71",arithmetic
"8.53,10.44,12.34,14.24,16.14,18.04,19.94,21.84,23.74",arithmetic
"-2.96,-2.33,-1.69,-1.06,-0.42,0.21,0.85,1.48,2.11,2.75",arithmetic
"-4.10,-3.04,-1.98,-0.92,0.14,1.20,2.25,3.31,4.37,5.43,6.49",arithmetic
"4.11,6.02,7.94,9.85,11.76,13.67",arithmetic
"-5.66,-4.40,-3.13,-1.86,-0.59,0.67,1.94,3.21,4.48",arithmetic
"-5.04,-3.91,-2.78,-1.64,-0.51,0.62,1.75,2.89,4.02,5.15",arithmetic
"2.88,5.25,7.62,9.99,12.36,14.73,17.10,19.47,21.83,24.20,26.57",arithmetic
"-6.47,-5.01,-3.56,-2.11,-0.65",arithmetic
"3.11,4.57,6.03,7.49,8.95,10.41,11.87,13.33,14.79,16.24",arithmetic
"4.04,5.82,7.61,9.40,11.19,12.97,14.76,16.55,18.33,20.12,21.91",arithmetic
"-0.86,-0.25,0.36,0.98,1.59,2.20,2.81,3.43,4.04,4.65",arithmetic
"7.08,8.25,9.41,10.57,11.74,12.90,14.07",arithmetic
"1.77,4.18,6.59,9.01,11.42,13.84,16.25,18.66,21.08,23.49,25.90",arithmetic
"-6.24,-4.36,-2.48,-0.60,1.28,3.15,5.03,6.91,8.79",arithmetic
"-2.50,0.30,3.10,5.91,8.71,11.51,14.32,17.12,19.92,22.73,25.53",arithmetic
"-9.18,-8.16,-7.13,-6.10,-5.08,-4.05",arithmetic
"-8.27,-5.58,-2.90,-0.21,2.48,5.16,7.85,10.54,13.22,15.91",arithmetic
"2.83,5.58,8.34,11.09,13.84,16.59,19.34,22.09,24.84,27.59",arithmetic
"-2.16,-0.61,0.94,2.49,4.04,5.59,7.15,8.70,10.25,11.80,13.35",arithmetic
"7.64,10.21,12.77,15.33,17.89,20.45,23.01,25.58,28.14,30.70,33.26",arithmetic
"8.08,8.67,9.27,9.86,10.45",arithmetic
"9.86,11.61,13.36,15.11,16.86",arithmetic
"-0.86,0.12,1.10,2.08,3.06,4.04,5.02,6.00,6.98,7.96,8.94",arithmetic
"-1.38,-0.15,1.08,2.31,3.54,4.77",arithmetic
"-3.76,-1.87,0.02,1.91,3.80,5.69,7.58,9.47,11.36,13.25",arithmetic
"-5.30,-3.85,-2.41,-0.96,0.49,1.94,3.39,4.84,6.29,7.73",arithmetic
"9.89,12.31,14.72,17.14,19.55",arithmetic
"1.90,2.59,3.27,3.95,4.64,5.32,6.00",arithmetic
"-4.58,-1.73,1.13,3.99,6.85,9.71,12.56,15.42,18.28,21.14,23.99",arithmetic
"-5.28,-3.79,-2.29,-0.80,0.70,2.19",arithmetic
"-2.23,-1.20,-0.16,0.88,1.91,2.95,3.99,5.02,6.06,7.10,8.14",arithmetic
"-7.09,-6.49,-5.88,-5.28,-4.67,-4.07,-3.47,-2.86",arithmetic
"8.25,9.56,10.87,12.19,13.50,14.81,16.12,17.44,18.75,20.06",arithmetic
"-6.27,-4.06,-1.86,0.34,2.55,4.75",arithmetic
"9.83,10.59,11.35,12.12,12.88",arithmetic
"2.45,4.61,6.77,8.94,11.10,13.26,15.42,17.58,19.74,21.90",arithmetic
"4.37,5.78,7.20,8.62,10.03,11.45,12.86,14.28,15.70,17.11,18.53",arithmetic
"-1.45,-0.13,1.18,2.50,3.81,5.13,6.44,7.76",arithmetic
"3.66,5.03,6.40,7.78,9.15,10.52",arithmetic
"5.43,6.82,8.20,9.59,10.98,12.36,13.75,15.14",arithmetic
"-5.07,-2.31,0.45,3.22,5.98,8.74,11.50",arithmetic
"5.91,7.77,9.64,11.50,13.37",arithmetic
"6.61,9.17,11.72,14.27,16.82,19.37,21.92,24.47,27.02,29.58",arithmetic
"-6.74,-4.50,-2.27,-0.03,2.21,4.44,6.68,8.91,11.15,13.38,15.62",arithmetic
"9.35,9.89,10.43,10.97,11.51,12.05,12.59,13.13,13.67,14.21,14.75",arithmetic
"-7.04,-5.27,-3.49,-1.72,0.05,1.83,3.60,5.37,7.15,8.92",arithmetic
"-2.15,-0.99,0.18,1.35,2.51,3.68",arithmetic
"0.14,2.01,3.88,5.75,7.62,9.49",arithmetic
"-7.79,-5.99,-4.19,-2.39,-0.59,1.21,3.01",arithmetic
"-2.01,-0.77,0.48,1.73,2.98",arithmetic
"3.87,4.77,5.68,6.59,7.50",arithmetic
"2.35,4.22,6.09,7.96,9.83,11.70",arithmetic
"6.93,8.55,10.18,11.81,13.43,15.06,16.69,18.31",arithmetic
"9.49,10.41,11.33,12.25,13.18,14.10",arithmetic
"-1.64,1.15,3.94,6.74,9.53,12.32,15.11,17.90,20.70",arithmetic
"3.36,5.34,7.32,9.30,11.27",arithmetic
"-6.76,-4.88,-2.99,-1.11,0.78",arithmetic
"4.20,6.15,8.09,10.04,11.99,13.93,15.88",arithmetic
"-5.90,-2.94,0.03,2.99,5.95,8.91,11.87,14.83,17.79",arithmetic
"4.26,6.71,9.16,11.62,14.07",arithmetic
"-6.50,-5.45,-4.39,-3.33,-2.27,-1.21",arithmetic
"-1.18,1.43,4.04,6.66,9.27,11.88,14.49,17.11,19.72,22.33,24.94",arithmetic
"-8.49,-7.22,-5.95,-4.67,-3.40,-2.13,-0.85,0.42,1.69,2.96,4.24",arithmetic
"0.01,2.24,4.47,6.70,8.93,11.16,13.39,15.62,17.85,20.08,22.32",arithmetic
"5.00,7.06,9.11,11.17,13.23,15.29,17.35,19.41,21.47",arithmetic
"-4.84,-2.86,-0.87,1.12,3.10,5.09,7.07,9.06,11.04",arithmetic
"-4.68,-2.91,-1.14,0.63,2.40,4.17,5.94,7.71,9.48",arithmetic
"-1.64,0.84,3.32,5.80,8.28,10.76,13.24,15.72",arithmetic
"-1.79,-0.96,-0.12,0.72,1.56,2.39,3.23,4.07,4.90,5.74,6.58",arithmetic
"-3.66,-1.32,1.01,3.35,5.68,8.02,10.35,12.68",arithmetic
"-9.66,-8.22,-6.78,-5.35,-3.91,-2.47,-1.03,0.40,1.84,3.28",arithmetic
"8.70,11.60,14.50,17.39,20.29,23.19,26.09,28.98",arithmetic
"3.62,6.24,8.87,11.49,14.11,16.74,19.36,21.99",arithmetic
"-6.67,-3.74,-0.81,2.11,5.04,7.96",arithmetic
"0.43,2.97,5.52,8.06,10.60,13.15,15.69,18.23,20.78,23.32,25.86",arithmetic
"-8.39,-7.88,-7.37,-6.86,-6.35",arithmetic
"2.31,4.50,6.69,8.89,11.08,13.27,15.46,17.66",arithmetic
"8.28,9.43,10.57,11.72,12.86,14.01,15.16,16.30,17.45,18.59",arithmetic
"7.04,8.58,10.12,11.65,13.19,14.73,16.27,17.80,19.34,20.88",arithmetic
"8.21,9.78,11.35,12.93,14.50,16.07,17.65",arithmetic
"2.74,5.36,7.99,10.62,13.25,15.87,18.50,21.13,23.76,26.38,29.01",arithmetic
"-2.78,-2.06,-1.35,-0.63,0.08,0.80",arithmetic
"-1.96,0.80,3.56,6.32,9.08,11.84,14.60,17.36,20.12,22.89",arithmetic
"6.39,8.61,10.83,13.04,15.26",arithmetic
"-2.29,0.65,3.59,6.53,9.47",arithmetic
"2.38,2.91,3.43,3.96,4.48,5.01,5.53,6.06,6.58,7.11",arithmetic
"4.98,7.63,10.28,12.92,15.57,18.22,20.86,23.51",arithmetic
"-4.97,-2.19,0.59,3.37,6.15,8.93,11.71",arithmetic
"-6.71,-5.71,-4.71,-3.71,-2.71",arithmetic
"-4.08,-2.10,-0.12,1.86,3.84,5.82,7.80",arithmetic
"-7.99,-7.07,-6.15,-5.23,-4.32,-3.40",arithmetic
"-6.90,-6.07,-5.24,-4.40,-3.57",arithmetic
"9.42,10.16,10.90,11.64,12.38,13.12,13.86,14.60,15.34",arithmetic
"8.66,10.53,12.41,14.29,16.16,18.04",arithmetic
"9.40,12.13,14.86,17.58,20.31",arithmetic
"2.75,5.31,7.87,10.43,12.99,15.55,18.10,20.66,23.22,25.78",arithmetic
"8.64,10.31,11.98,13.65,15.32,16.99",arithmetic
"0.59,3.41,6.24,9.06,11.88",arithmetic
"-3.27,-1.29,0.70,2.68,4.66,6.64,8.62",arithmetic
"-0.55,1.75,4.06,6.37,8.67,10.98,13.29,15.59,17.90,20.21,22.52",arithmetic
"-4.45,-2.57,-0.69,1.18,3.06,4.94,6.81,8.69,10.57",arithmetic
"1.74,3.74,5.74,7.73,9.73,11.73,13.72",arithmetic
"3.25,5.85,8.45,11.05,13.65,16.25,18.85,21.45,24.05,26.66",arithmetic
"-0.89,0.87,2.63,4.39,6.15,7.90,9.66,11.42",arithmetic
"8.43,9.08,9.72,10.36,11.01,11.65,12.30,12.94,13.58,14.23,14.87",arithmetic
"-8.41,-6.14,-3.86,-1.59,0.69,2.97,5.24,7.52,9.79,12.07,14.34",arithmetic
"-4.63,-2.52,-0.42,1.68,3.78,5.88",arithmetic
"-9.03,-7.41,-5.79,-4.17,-2.55",arithmetic
"-6.61,-4.27,-1.92,0.42,2.76,5.11,7.45,9.80,12.14",arithmetic
"-2.26,-0.54,1.18,2.89,4.61,6.33,8.04,9.76,11.48,13.20,14.91",arithmetic
"9.07,11.07,13.08,15.09,17.10,19.11,21.12,23.13,25.14,27.15,29.16",arithmetic
"-4.78,-3.10,-1.42,0.26,1.93,3.61,5.29,6.97,8.65,10.33",arithmetic
"-7.96,-6.98,-5.99,-5.00,-4.02,-3.03,-2.04,-1.05,-0.07",arithmetic
"7.64,8.29,8.94,9.59,10.24,10.89",arithmetic
"-1.07,0.57,2.21,3.85,5.49,7.13,8.77",arithmetic
"-0.60,-0.03,0.54,1.11,1.68,2.25,2.83,3.40,3.97,4.54",arithmetic
"9.75,12.62,15.48,18.35,21.22,24.09,26.95,29.82",arithmetic
"7.41,10.23,13.04,15.86,18.68,21.49,24.31,27.13,29.94",arithmetic
"-6.60,-5.49,-4.37,-3.26,-2.15",arithmetic
"-5.28,-4.39,-3.50,-2.61,-1.72,-0.83,0.06,0.95,1.84,2.73",arithmetic
"8.01,9.75,11.49,13.24,14.98,16.72,18.46,20.20,21.94,23.69,25.43",arithmetic
"-9.27,-7.36,-5.44,-3.53,-1.62,0.30,2.21,4.13,6.04,7.96",arithmetic
"0.01,0.72,1.43,2.13,2.84",arithmetic
"7.59,9.81,12.03,14.26,16.48,18.71,20.93,23.15",arithmetic
"2.80,5.23,7.66,10.09,12.51,14.94",arithmetic
"-5.37,-3.92,-2.48,-1.03,0.41",arithmetic
"1.74,4.24,6.74,9.23,11.73,14.23",arithmetic
"8.80,10.14,11.48,12.82,14.15,15.49,16.83,18.17,19.51,20.84,22.18",arithmetic
"9.64,10.54,11.45,12.36,13.26,14.17,15.08,15.98",arithmetic
"3.79,4.64,5.49,6.34,7.19,8.04,8.89,9.74,10.59,11.44,12.28",arithmetic
"2.63,3.95,5.26,6.58,7.90,9.21,10.53,11.85,13.16",arithmetic
"-4.22,-2.18,-0.13,1.92,3.96,6.01,8.05,10.10,12.15,14.19,16.24",arithmetic
"-5.08,-4.53,-3.97,-3.42,-2.86,-2.31,-1.75,-1.20,-0.64,-0.09,0.47",arithmetic
"-0.87,1.09,3.06,5.02,6.99,8.95,10.91,12.88,14.84,16.81",arithmetic
"-4.82,-3.28,-1.74,-0.20,1.34,2.88,4.42,5.96,7.50,9.05,10.59",arithmetic
"9.61,11.44,13.27,15.10,16.93,18.76,20.59,22.43,24.26,26.09",arithmetic
"6.26,6.89,7.51,8.14,8.76,9.39,10.01,10.64,11.27",arithmetic
"5.35,5.99,6.64,7.28,7.93,8.57,9.22",arithmetic
"1.95,4.51,7.06,9.62,12.18,14.74,17.30,19.85,22.41,24.97,27.53",arithmetic
"9.16,10.30,11.43,12.57,13.70,14.84,15.98,17.11,18.25,19.38",arithmetic
"9.14,9.88,10.61,11.35,12.08,12.82",arithmetic
"4.61,6.59,8.56,10.53,12.50,14.48,16.45,18.42,20.39,22.36",arithmetic
"1.96,2.49,3.03,3.56,4.10",arithmetic
"8.87,11.36,13.86,16.35,18.84,21.33,23.83,26.32,28.81,31.30",arithmetic
"9.52,10.82,12.12,13.41,14.71,16.01,17.31,18.61",arithmetic
"-0.65,0.59,1.83,3.07,4.31,5.55,6.79",arithmetic
"5.64,6.92,8.20,9.48,10.77,12.05",arithmetic
"-4.62,-4.12,-3.61,-3.11,-2.61,-2.11,-1.61,-1.11,-0.61",arithmetic
"-2.06,-0.99,0.07,1.14,2.21,3.27,4.34,5.41,6.47",arithmetic
"-3.19,-0.61,1.96,4.54,7.11",arithmetic
"-4.67,-2.82,-0.96,0.89,2.75",arithmetic
"5.71,7.74,9.77,11.80,13.83",arithmetic
